from;to;polyline;weight
Trang;Bueng Kan;LINESTRING(99.3599859433 7.48356217488, 103.722237352 18.0575482114);0.0
Bueng Kan;Trat;LINESTRING(103.722237352 18.0575482114, 102.503195011 12.1382302437);1.0
Bueng Kan;Ubon Ratchathani;LINESTRING(103.722237352 18.0575482114, 104.950118622 15.2036640615);2.0
Bueng Kan;Udon Thani;LINESTRING(103.722237352 18.0575482114, 102.840541098 17.512721051);75.0
Uttaradit;Bueng Kan;LINESTRING(100.431418199 17.7260698659, 103.722237352 18.0575482114);0.0
Uthai Thani;Bueng Kan;LINESTRING(99.5807809841 15.3329804403, 103.722237352 18.0575482114);0.0
Yala;Bueng Kan;LINESTRING(101.188657942 6.16406279095, 103.722237352 18.0575482114);0.0
Yasothon;Bueng Kan;LINESTRING(104.371511185 15.8497001429, 103.722237352 18.0575482114);0.0
Buriram;Buriram;LINESTRING(102.967514344 15.1005920882, 102.967514344 15.1005920882);0.0
Buriram;Chonburi;LINESTRING(102.967514344 15.1005920882, 101.121827441 13.0460828469);100.0
Buriram;Chachoengsao;LINESTRING(102.967514344 15.1005920882, 101.41696414 13.5412867511);19.0
Buriram;Chiang Mai;LINESTRING(102.967514344 15.1005920882, 98.7736976232 18.9084414401);38.0
Buriram;Chai Nat;LINESTRING(102.967514344 15.1005920882, 99.9966639648 15.1889341114);1.0
Buriram;Chaiyaphum;LINESTRING(102.967514344 15.1005920882, 101.950256984 16.1453092103);24.0
Chumphon;Buriram;LINESTRING(98.9038728634 10.2984795764, 102.967514344 15.1005920882);0.0
Buriram;Chiang Rai;LINESTRING(102.967514344 15.1005920882, 99.8463306614 19.7614170952);7.0
Buriram;Chanthaburi;LINESTRING(102.967514344 15.1005920882, 102.128935757 12.7850531428);35.0
Buriram;Krabi;LINESTRING(102.967514344 15.1005920882, 98.8832146297 7.9091448048);2.0
Buriram;Khon Kaen;LINESTRING(102.967514344 15.1005920882, 102.47117486 16.4033200124);199.0
Buriram;Kamphaeng Phet;LINESTRING(102.967514344 15.1005920882, 99.4840870778 16.3504084467);5.0
Buriram;Kanchanaburi;LINESTRING(102.967514344 15.1005920882, 99.0508269362 14.6142660015);12.0
Buriram;Kalasin;LINESTRING(102.967514344 15.1005920882, 103.623492533 16.5959516038);5.0
Buriram;Loei Province;LINESTRING(102.967514344 15.1005920882, 101.552343004 17.4924428641);2.0
Buriram;Lampang;LINESTRING(102.967514344 15.1005920882, 99.5103521938 18.2741029435);11.0
Buriram;Lamphun;LINESTRING(102.967514344 15.1005920882, 98.9674006597 18.0768881064);1.0
Buriram;Lopburi Province;LINESTRING(102.967514344 15.1005920882, 100.897002401 15.11760038);3.0
Buriram;Mukdahan;LINESTRING(102.967514344 15.1005920882, 104.435295454 16.5902346448);7.0
Buriram;Maha Sarakham;LINESTRING(102.967514344 15.1005920882, 103.187269825 16.0737469859);216.0
Mae Hong Son;Buriram;LINESTRING(97.9474324868 18.7273332925, 102.967514344 15.1005920882);0.0
Buriram;Nan;LINESTRING(102.967514344 15.1005920882, 100.817084443 18.8280594829);3.0
Buriram;Nonthaburi;LINESTRING(102.967514344 15.1005920882, 100.356517706 13.9498544093);54.0
Nong Bua Lam Phu;Buriram;LINESTRING(102.244010092 17.1948308266, 102.967514344 15.1005920882);0.0
Buriram;Nong Khai;LINESTRING(102.967514344 15.1005920882, 102.77240708 17.9729280256);7.0
Buriram;Nakhon Ratchasima;LINESTRING(102.967514344 15.1005920882, 102.162650043 15.0280360626);817.0
Nakhon Phanom;Buriram;LINESTRING(104.319004039 17.4294095463, 102.967514344 15.1005920882);0.0
Buriram;Nakhon Pathom;LINESTRING(102.967514344 15.1005920882, 100.068033595 13.8876112057);28.0
Buriram;Nakhon Si Thammarat;LINESTRING(102.967514344 15.1005920882, 99.7073199322 8.51358626995);1.0
Buriram;Nakhon Sawan;LINESTRING(102.967514344 15.1005920882, 99.9869845225 15.6823145632);5.0
Buriram;Narathiwat;LINESTRING(102.967514344 15.1005920882, 101.751727633 6.12680622765);4.0
Buriram;Nakhon Nayok;LINESTRING(102.967514344 15.1005920882, 101.218224714 14.262571957);10.0
Buriram;Phetchaburi;LINESTRING(102.967514344 15.1005920882, 99.6075392745 12.9986537807);11.0
Phichit;Buriram;LINESTRING(100.409668319 16.2635958818, 102.967514344 15.1005920882);0.0
Buriram;Prachuap Khiri Khan;LINESTRING(102.967514344 15.1005920882, 99.5777392025 11.8001333794);11.0
Buriram;Phuket;LINESTRING(102.967514344 15.1005920882, 98.2727379223 7.86370621154);4.0
Phatthalung;Buriram;LINESTRING(100.045088379 7.45917876629, 102.967514344 15.1005920882);0.0
Buriram;Phitsanulok;LINESTRING(102.967514344 15.1005920882, 100.518454781 17.0947359704);10.0
Buriram;Phang Nga;LINESTRING(102.967514344 15.1005920882, 98.1018967416 8.69774345234);1.0
Buriram;Phetchabun;LINESTRING(102.967514344 15.1005920882, 101.242596454 16.3926965851);12.0
Buriram;Phrae;LINESTRING(102.967514344 15.1005920882, 100.012937431 18.2139119856);4.0
Buriram;Prachinburi;LINESTRING(102.967514344 15.1005920882, 101.618777543 14.0445407759);22.0
Buriram;Pathum Thani;LINESTRING(102.967514344 15.1005920882, 100.56915304 14.0830923585);75.0
Pattani;Buriram;LINESTRING(101.347821677 6.73989916225, 102.967514344 15.1005920882);0.0
Buriram;Phayao;LINESTRING(102.967514344 15.1005920882, 100.225624368 19.2180780435);3.0
Buriram;Ratchaburi;LINESTRING(102.967514344 15.1005920882, 99.5857449774 13.5495309307);4.0
Buriram;Roi Et;LINESTRING(102.967514344 15.1005920882, 103.828448191 15.9385220182);35.0
Ranong;Buriram;LINESTRING(98.563678981 9.92248571424, 102.967514344 15.1005920882);0.0
Buriram;Rayong;LINESTRING(102.967514344 15.1005920882, 101.343222133 12.8409659694);22.0
Buriram;Sing Buri;LINESTRING(102.967514344 15.1005920882, 100.320977667 14.8716158255);1.0
Buriram;Songkhla;LINESTRING(102.967514344 15.1005920882, 100.548759187 6.94884143693);3.0
Buriram;Samut Songkhram;LINESTRING(102.967514344 15.1005920882, 99.9367402385 13.3593198916);4.0
Buriram;Samut Sakhon;LINESTRING(102.967514344 15.1005920882, 100.177263278 13.5962888145);9.0
Buriram;Sa Kaeo;LINESTRING(102.967514344 15.1005920882, 102.332311439 13.6777234283);44.0
Buriram;Surat Thani;LINESTRING(102.967514344 15.1005920882, 99.099159387 9.13381321812);4.0
Buriram;Sakon Nakhon;LINESTRING(102.967514344 15.1005920882, 103.822703129 17.5131235152);7.0
Buriram;Suphan Buri;LINESTRING(102.967514344 15.1005920882, 99.8038953973 14.648468015);5.0
Buriram;Samut Prakan;LINESTRING(102.967514344 15.1005920882, 100.622262423 13.5941395905);43.0
Buriram;Saraburi;LINESTRING(102.967514344 15.1005920882, 101.026016661 14.6689938567);37.0
Buriram;Surin;LINESTRING(102.967514344 15.1005920882, 103.655766949 14.9277736873);225.0
Buriram;Sisaket;LINESTRING(102.967514344 15.1005920882, 104.40982653 14.9516411754);69.0
Buriram;Sukhothai;LINESTRING(102.967514344 15.1005920882, 99.7963503647 17.3641392291);5.0
Satun;Buriram;LINESTRING(99.5703559981 6.7318170405, 102.967514344 15.1005920882);0.0
Buriram;Tak;LINESTRING(102.967514344 15.1005920882, 98.6551659992 16.6465147647);1.0
Trang;Buriram;LINESTRING(99.3599859433 7.48356217488, 102.967514344 15.1005920882);0.0
Buriram;Trat;LINESTRING(102.967514344 15.1005920882, 102.503195011 12.1382302437);10.0
Buriram;Ubon Ratchathani;LINESTRING(102.967514344 15.1005920882, 104.950118622 15.2036640615);120.0
Buriram;Udon Thani;LINESTRING(102.967514344 15.1005920882, 102.840541098 17.512721051);9.0
Buriram;Uttaradit;LINESTRING(102.967514344 15.1005920882, 100.431418199 17.7260698659);1.0
Uthai Thani;Buriram;LINESTRING(99.5807809841 15.3329804403, 102.967514344 15.1005920882);0.0
Yala;Buriram;LINESTRING(101.188657942 6.16406279095, 102.967514344 15.1005920882);0.0
Buriram;Yasothon;LINESTRING(102.967514344 15.1005920882, 104.371511185 15.8497001429);17.0
Chonburi;Chonburi;LINESTRING(101.121827441 13.0460828469, 101.121827441 13.0460828469);0.0
Chonburi;Chachoengsao;LINESTRING(101.121827441 13.0460828469, 101.41696414 13.5412867511);1833.0
Chonburi;Chiang Mai;LINESTRING(101.121827441 13.0460828469, 98.7736976232 18.9084414401);429.0
Chonburi;Chai Nat;LINESTRING(101.121827441 13.0460828469, 99.9966639648 15.1889341114);58.0
Chonburi;Chaiyaphum;LINESTRING(101.121827441 13.0460828469, 101.950256984 16.1453092103);40.0
Chonburi;Chumphon;LINESTRING(101.121827441 13.0460828469, 98.9038728634 10.2984795764);13.0
Chonburi;Chiang Rai;LINESTRING(101.121827441 13.0460828469, 99.8463306614 19.7614170952);191.0
Chonburi;Chanthaburi;LINESTRING(101.121827441 13.0460828469, 102.128935757 12.7850531428);707.0
Chonburi;Krabi;LINESTRING(101.121827441 13.0460828469, 98.8832146297 7.9091448048);42.0
Chonburi;Khon Kaen;LINESTRING(101.121827441 13.0460828469, 102.47117486 16.4033200124);227.0
Chonburi;Kamphaeng Phet;LINESTRING(101.121827441 13.0460828469, 99.4840870778 16.3504084467);39.0
Chonburi;Kanchanaburi;LINESTRING(101.121827441 13.0460828469, 99.0508269362 14.6142660015);284.0
Chonburi;Kalasin;LINESTRING(101.121827441 13.0460828469, 103.623492533 16.5959516038);24.0
Chonburi;Loei Province;LINESTRING(101.121827441 13.0460828469, 101.552343004 17.4924428641);55.0
Chonburi;Lampang;LINESTRING(101.121827441 13.0460828469, 99.5103521938 18.2741029435);105.0
