uid;polyline;isLeafNode;value
1856;LINESTRING(104.681261851 15.1854368574, 104.623245492 15.1854368574, 104.623245492 15.1274204985, 104.681261851 15.1274204985, 104.681261851 15.1854368574);True;{1.0: 'Sisaket'}
1857;LINESTRING(104.73927821 15.1854368574, 104.681261851 15.1854368574, 104.681261851 15.1274204985, 104.73927821 15.1274204985, 104.73927821 15.1854368574);True;{0.38461538461538464: 'UbonRatchathani', 0.6153846153846154: 'Sisaket'}
1860;LINESTRING(104.507212774 15.359485934, 104.449196415 15.359485934, 104.449196415 15.3014695751, 104.507212774 15.3014695751, 104.507212774 15.359485934);True;{1.0: 'UbonRatchathani'}
1861;LINESTRING(104.449196415 15.359485934, 104.391180056 15.359485934, 104.391180056 15.3014695751, 104.449196415 15.3014695751, 104.449196415 15.359485934);True;{0.5384615384615384: 'Yasothon', 0.46153846153846156: 'UbonRatchathani'}
1862;LINESTRING(104.449196415 15.3014695751, 104.391180056 15.3014695751, 104.391180056 15.2434532163, 104.449196415 15.2434532163, 104.449196415 15.3014695751);True;{0.6923076923076923: 'Sisaket', 0.23076923076923078: 'UbonRatchathani'}
1863;LINESTRING(104.507212774 15.3014695751, 104.449196415 15.3014695751, 104.449196415 15.2434532163, 104.507212774 15.2434532163, 104.507212774 15.3014695751);True;{0.5384615384615384: 'UbonRatchathani', 0.46153846153846156: 'Sisaket'}
1865;LINESTRING(104.391180056 15.359485934, 104.333163697 15.359485934, 104.333163697 15.3014695751, 104.391180056 15.3014695751, 104.391180056 15.359485934);True;{0.38461538461538464: 'Sisaket', 0.6153846153846154: 'Yasothon'}
1866;LINESTRING(104.333163697 15.359485934, 104.275147338 15.359485934, 104.275147338 15.3014695751, 104.333163697 15.3014695751, 104.333163697 15.359485934);True;{0.8461538461538461: 'Sisaket', 0.15384615384615385: 'Yasothon'}
1867;LINESTRING(104.333163697 15.3014695751, 104.275147338 15.3014695751, 104.275147338 15.2434532163, 104.333163697 15.2434532163, 104.333163697 15.3014695751);True;{1.0: 'Sisaket'}
1868;LINESTRING(104.391180056 15.3014695751, 104.333163697 15.3014695751, 104.333163697 15.2434532163, 104.391180056 15.2434532163, 104.391180056 15.3014695751);True;{0.9230769230769231: 'Sisaket'}
