,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Phrae,0,0,2,11,0,0,1,0,22,1,0,0,4,0,1,0,0,0,0,1,71,7,0,0,0,1,13,1,0,0,0,0,1,0,7,0,0,1,3,2,0,0,45,0,6,0,0,1,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,63,1,0,0
Prachinburi,0,0,3,29,0,2,9,58,0,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,36,0,2,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,4,0,0,0,2,13,1,1,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Pathum Thani,0,26,512,3724,0,4,63,29,19,18,1,2,3,5,0,10,10,14,0,0,8,2,20,0,4,1,0,1037,0,2,79,0,81,0,35,0,127,22,3,10,1,2,7,1,4,2,9,0,0,1,17,1,0,9,28,2,13,27,0,1,2,27,227,100,1,3,2,0,3,1,2,6,5,1,1,0,1
Pattani,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Phayao,0,0,1,7,0,0,3,0,14,1,0,1,85,0,0,0,1,0,0,2,38,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,8,0,1,31,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,13,0,0,0
Ratchaburi,0,2,9,277,0,0,9,2,10,2,0,0,2,1,0,0,1,90,0,1,1,0,0,0,0,0,0,21,0,1,7,0,356,0,2,0,3,136,0,30,0,0,0,0,2,1,0,13,0,0,0,1,0,4,0,0,195,66,0,2,1,9,14,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Roi Et,3,0,1,17,1,4,1,0,1,0,2,0,0,0,0,35,0,3,23,1,0,0,0,5,108,0,0,2,0,0,31,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8,6,0,0,0,0,0,5,2,0,0,0,23
Ranong,0,0,2,4,0,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayong,0,1,8,169,0,1,416,144,5,2,0,0,3,171,0,4,2,1,0,1,3,0,0,0,0,0,0,11,0,0,9,0,4,0,3,1,5,3,1,1,0,0,1,0,5,0,10,19,0,0,2,1,0,0,1,0,0,4,3,0,0,0,35,3,1,3,0,0,0,0,16,0,2,2,0,0,0
Sing Buri,0,58,97,35,0,0,4,2,1,26,0,0,0,0,0,0,10,0,0,0,2,0,28,0,0,0,0,12,0,0,2,0,3,0,41,0,1,1,1,0,0,0,8,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,0,0,0,3,0,0,0,0,2,7,0,0
