,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Chaiyaphum,4,7,62,377,3,43,127,47,55,11,0,9,22,35,11,233,8,28,20,45,26,15,46,9,66,8,8,131,10,32,265,11,44,10,24,2,31,40,11,47,7,4,38,7,49,14,20,141,3,10,23,35,2,65,16,9,19,20,9,12,14,21,142,67,23,23,13,4,9,5,15,35,49,13,6,3,10
Chumphon,1,10,62,365,0,5,89,31,59,5,9,0,31,25,42,31,8,34,8,12,21,11,21,1,6,8,2,142,3,7,58,7,76,50,22,3,29,126,11,183,47,19,19,31,17,11,9,101,10,13,38,7,27,37,11,56,69,50,5,132,6,21,137,33,6,1,7,9,14,18,10,12,18,14,5,5,2
Chiang Rai,3,40,293,1963,3,44,583,154,1889,51,22,31,0,118,110,140,75,126,17,44,497,215,99,4,40,88,91,610,7,56,194,13,199,36,209,6,58,230,66,273,107,8,263,28,70,239,42,465,6,630,97,26,6,176,82,54,104,91,18,88,21,111,749,73,18,14,88,18,85,32,47,60,83,151,23,7,7
Chanthaburi,4,56,319,2068,2,90,1060,445,267,34,35,25,118,0,35,146,42,178,25,47,93,44,124,8,63,19,27,767,10,27,372,18,318,24,93,2,131,248,31,250,51,4,90,23,59,35,116,608,4,23,166,41,7,762,76,38,167,154,98,47,20,124,957,163,42,38,22,10,37,15,292,82,73,30,27,4,12
Krabi,1,10,122,1188,2,13,155,42,387,6,11,42,110,35,0,46,12,72,8,13,34,24,85,4,14,50,14,166,2,10,77,9,74,72,32,11,19,84,9,104,906,63,31,255,24,17,7,134,20,11,79,10,14,43,13,338,55,41,12,340,9,24,341,37,6,2,22,67,11,157,28,14,23,14,7,11,2
Khon Kaen,30,29,245,2006,49,195,665,177,345,22,233,31,140,146,46,0,42,145,336,304,100,58,106,74,1119,18,34,682,92,372,1043,93,235,44,85,8,111,222,22,263,59,9,158,33,176,58,105,612,7,36,86,483,7,275,44,55,110,106,31,57,187,87,753,260,86,130,41,11,39,15,61,335,891,63,15,13,78
Kamphaeng Phet,0,31,159,480,0,18,174,61,301,57,8,8,75,42,12,42,0,46,4,15,210,90,53,2,10,8,19,176,2,9,82,6,64,9,233,2,29,74,34,74,13,4,161,6,37,31,13,178,3,41,34,9,3,67,73,14,40,29,5,8,8,53,176,53,5,5,59,2,158,5,9,10,14,33,36,6,3
Kanchanaburi,5,66,420,2848,6,53,796,252,360,43,28,34,126,178,72,145,46,0,20,48,113,58,142,15,43,33,36,1177,14,43,384,14,936,35,114,5,164,465,25,475,79,12,111,21,78,44,64,837,7,29,595,46,10,227,74,71,308,242,30,76,15,280,1156,170,43,22,38,18,47,20,73,49,66,24,30,9,12
Kalasin,7,5,51,260,7,33,105,34,36,7,20,8,17,25,8,336,4,20,0,36,11,10,23,33,304,3,6,82,6,27,145,38,25,4,12,1,22,35,3,48,7,1,18,7,21,13,14,75,1,6,12,138,3,46,8,6,28,18,4,8,62,14,98,47,13,19,4,4,5,3,9,40,83,8,4,1,21
Loei Province,12,7,65,511,18,29,170,35,92,6,45,12,44,47,13,304,15,48,36,0,36,25,36,12,111,4,22,185,50,95,154,18,69,14,31,1,27,62,6,90,21,4,92,13,129,23,25,137,2,12,22,47,5,65,14,23,33,26,11,19,46,30,190,49,20,16,13,6,12,4,27,55,202,25,2,4,16
